Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 3
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,5	333,2
1,3	333,2
2,7	333,2
5,5	333,2
9,5	333,2
14,5	333,2
22,0	333,2
30,5	333,2
42,5	333,2
54,2	257,3
66,2	191,1
76,2	143,2
83,5	111,8
90,3	91,9
96,5	72,6
102,2	62,7
108,5	50,2
114,3	40,7
120,7	34,4
126,0	23,1
129,7	18,2
133,0	9,4
138,2	2,0
146,0	-3,4
154,5	-14,8
163,0	-22,2
170,2	-35,2
177,7	-44,3
187,0	-48,0
194,8	-56,0
202,3	-56,3
210,0	-60,5
217,3	-63,7
224,8	-63,3
232,3	-68,3
239,0	-66,2
245,8	-69,5
252,3	-70,6
258,5	-69,5
265,0	-73,7
271,8	-70,9
278,8	-73,4
284,5	-74,5
290,3	-73,1
297,0	-77,0
303,5	-74,2
310,0	-76,8
315,7	-77,1
321,3	-75,0
326,5	-78,8
332,0	-75,7
337,8	-78,4
343,5	-78,5
349,8	-76,7
356,0	-80,2
362,3	-77,3
367,5	-79,1
372,3	-80,0
377,5	-77,3
383,0	-80,9
390,0	-77,9
397,0	-79,9
404,7	-80,7
413,5	-78,2
423,2	-81,7
433,0	-78,5
441,2	-79,8
449,5	-80,1
456,7	-76,5
463,0	-79,6
470,7	-75,5
480,2	-76,4
489,5	-74,9
499,8	-70,0
509,7	-70,8
518,7	-64,5
528,3	-63,3
537,7	-60,4
547,0	-54,3
555,0	-53,9
563,0	-47,7
572,0	-46,1
580,2	-43,2
588,5	-37,8
597,2	-38,4
605,5	-32,3
613,3	-31,1
621,3	-28,9
629,8	-23,6
639,5	-24,7
648,7	-19,4
658,5	-18,6
667,2	-16,8
675,0	-12,2
682,8	-13,9
690,8	-9,6
699,5	-8,3
706,7	-8,1
714,7	-3,6
724,0	-5,7
734,2	-1,3
745,5	-2,1
756,5	-1,5
767,2	2,1
777,8	0,2
789,2	3,8
799,3	3,3
810,8	3,3
822,0	6,5
832,5	3,3
843,8	6,5
855,3	5,5
866,5	4,9
877,2	7,2
888,0	3,7
