Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 4
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,5	333,2
1,0	333,2
4,7	333,2
11,7	333,2
19,8	333,2
27,2	333,2
33,3	333,2
39,2	333,2
44,0	333,2
49,5	311,7
56,2	255,2
63,2	208,7
70,3	174,6
77,5	143,6
85,0	125,7
93,0	105,8
102,5	91,2
114,0	79,5
128,0	61,9
141,5	50,1
154,0	32,5
165,0	16,3
176,2	-1,1
187,5	-19,2
199,5	-26,0
212,0	-36,3
224,3	-42,0
237,8	-44,9
249,8	-51,8
263,5	-52,1
277,5	-56,7
288,8	-59,1
298,3	-58,7
308,8	-63,7
318,0	-61,8
326,7	-65,4
334,0	-66,5
341,5	-65,3
348,7	-69,3
356,0	-66,7
363,8	-69,9
372,5	-70,5
382,2	-69,3
395,0	-72,2
408,5	-70,0
421,5	-72,0
434,2	-72,1
445,0	-70,0
454,8	-73,3
464,7	-68,8
476,5	-69,5
487,7	-67,6
497,5	-62,6
507,0	-63,1
516,0	-55,7
523,7	-54,0
530,7	-50,5
537,7	-44,0
545,2	-43,1
554,0	-35,4
562,7	-32,3
571,7	-27,8
581,0	-20,4
590,5	-19,0
600,0	-10,8
610,2	-8,5
621,3	-4,4
632,5	2,5
644,5	3,2
657,2	10,4
670,0	12,7
682,8	16,1
694,5	22,6
706,2	22,5
718,0	29,2
729,7	30,1
742,2	31,9
754,7	36,5
767,0	35,2
779,0	39,3
791,2	39,1
806,0	39,4
821,5	42,5
838,7	39,1
855,0	41,3
870,5	39,8
884,8	38,2
898,5	40,6
910,0	35,8
921,7	38,0
934,8	35,7
949,0	33,5
963,7	34,4
978,2	28,8
992,8	30,1
1007,0	27,6
1021,8	25,2
1035,3	26,7
1049,3	21,6
1063,0	23,0
1077,8	20,0
1091,8	18,5
1105,8	19,6
1116,8	14,2
1127,5	16,9
1139,0	15,3
1151,5	12,9
1164,5	14,6
1177,5	10,4
1190,0	11,2
1203,7	9,1
1218,3	6,7
1233,3	8,1
1248,8	3,6
1264,7	4,5
1280,3	1,8
1295,8	-1,3
1310,7	-0,4
1324,7	-4,9
1337,5	-3,7
1350,8	-6,3
1364,0	-8,8
1377,2	-7,5
1389,5	-12,7
1401,5	-11,6
1414,8	-14,2
1428,0	-16,2
1442,2	-14,7
1457,0	-19,9
1470,3	-18,2
1481,8	-20,7
1493,3	-22,8
1505,0	-21,0
1516,8	-25,7
1528,8	-24,4
1541,5	-26,6
1555,5	-28,7
1569,8	-27,3
1584,3	-32,1
1598,5	-30,9
1611,5	-32,9
1626,5	-35,3
1640,5	-33,9
1654,0	-37,9
1667,2	-37,2
1682,0	-38,6
1695,8	-41,3
1708,0	-39,9
1719,5	-43,8
1731,5	-42,0
1743,2	-43,9
1755,2	-46,2
1767,3	-43,4
1781,3	-48,1
1794,0	-46,8
1807,0	-47,9
1820,0	-50,3
1833,3	-48,2
1848,8	-52,7
1863,5	-51,0
1878,5	-52,8
1892,5	-55,6
1906,5	-52,7
1920,3	-57,6
1933,5	-55,8
1944,0	-57,8
1955,3	-59,7
1966,5	-56,8
1977,5	-61,2
1990,2	-59,4
2004,5	-60,1
2018,5	-62,5
2032,7	-59,7
2047,7	-63,9
2064,5	-62,3
2081,8	-63,3
2100,8	-65,8
2119,5	-63,1
2136,8	-66,8
2153,7	-64,9
2171,5	-65,8
2189,7	-68,6
2209,5	-66,0
2228,2	-69,8
2248,8	-67,9
2266,3	-68,7
2283,5	-71,3
2301,0	-68,5
2317,0	-72,3
2334,0	-70,3
2350,5	-71,7
2367,2	-73,6
2384,0	-70,7
2401,8	-75,2
2420,5	-73,3
2437,8	-73,9
2454,0	-75,6
2470,2	-72,8
2485,5	-76,7
2499,7	-74,6
2514,2	-75,0
2527,2	-76,8
2539,5	-74,4
2554,5	-77,8
2570,2	-76,1
2587,0	-76,3
2603,8	-78,5
2625,2	-75,3
2650,0	-78,9
2674,0	-77,6
2700,0	-78,0
2724,0	-79,8
2746,2	-77,0
2767,0	-80,7
2783,7	-78,8
2798,2	-78,9
2814,0	-81,5
2830,7	-78,1
2845,2	-81,7
2859,5	-79,6
2873,5	-79,5
2888,7	-81,7
2902,7	-78,5
2915,8	-81,9
2925,2	-80,4
2932,5	-80,2
2938,7	-82,5
2942,7	-79,1
2949,5	-82,7
2959,2	-81,2
2965,7	-80,7
2970,7	-83,0
2972,8	-79,7
2975,7	-82,6
2981,5	-81,0
2985,7	-81,1
2996,0	-83,3
3004,0	-79,7
3004,5	-83,4
3004,0	-81,5
3003,5	-81,1
3003,5	-83,5
3003,5	-80,1
3003,3	-83,4
3003,3	-81,4
3003,3	-81,2
3003,3	-83,7
3003,0	-80,4
3003,0	-83,4
3003,0	-81,9
3003,0	-81,3
3003,0	-83,7
3003,0	-80,2
3003,0	-83,7
3003,0	-82,1
3003,0	-81,6
3002,7	-84,0
3002,7	-80,6
3002,7	-83,8
3002,7	-81,7
3002,7	-81,1
3002,7	-83,5
3002,7	-80,2
3002,7	-83,8
