Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 5
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,5	333,2
1,3	333,2
4,2	333,2
8,3	333,2
14,0	333,2
20,5	333,2
27,0	333,2
34,2	333,2
42,0	333,2
50,5	271,8
58,7	219,1
66,0	182,9
72,2	158,5
79,0	136,4
84,5	124,2
91,5	108,4
100,5	97,2
111,0	85,4
122,2	68,9
133,0	57,7
141,7	40,2
147,2	26,9
155,2	11,9
163,5	-7,8
171,2	-16,8
180,5	-28,8
188,2	-34,8
195,2	-38,9
201,3	-46,3
207,5	-45,7
212,8	-51,3
218,0	-53,2
223,5	-53,5
229,5	-58,1
236,0	-56,3
242,0	-60,7
247,3	-60,7
252,3	-60,5
256,5	-64,4
260,8	-61,6
265,3	-65,3
270,5	-65,0
275,8	-64,5
280,5	-67,7
284,8	-65,1
289,8	-68,4
295,0	-68,2
300,8	-67,5
306,8	-70,6
312,5	-67,7
318,3	-70,6
324,5	-70,2
330,5	-69,2
336,5	-71,9
343,3	-69,0
349,5	-71,8
355,5	-71,5
361,5	-70,3
366,7	-73,6
372,3	-70,1
378,5	-72,9
383,5	-72,6
388,3	-70,5
393,8	-73,9
400,8	-70,0
407,8	-73,6
416,5	-72,1
424,0	-70,1
431,0	-72,6
438,3	-68,2
445,8	-69,7
452,5	-67,7
459,0	-64,6
464,7	-65,4
470,5	-59,7
475,8	-60,2
480,0	-56,6
484,2	-52,4
488,3	-52,6
494,5	-45,1
502,0	-43,9
510,5	-38,2
519,0	-31,3
526,5	-28,0
533,8	-18,9
541,0	-15,9
549,5	-9,3
558,8	-2,0
567,0	0,8
575,5	10,3
584,7	12,0
593,7	18,7
603,0	24,7
612,3	26,0
620,5	34,2
629,0	35,5
638,0	40,1
647,2	45,0
656,5	45,5
664,7	51,9
673,5	52,1
681,5	54,8
689,7	58,3
698,0	57,4
706,0	62,8
713,7	61,4
721,7	63,6
