Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 5
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
0,0	333,2
0,3	333,2
2,0	333,2
6,2	333,2
11,5	333,2
17,5	333,2
22,7	333,2
26,7	333,2
30,0	333,2
33,3	333,2
35,8	333,2
39,0	333,2
43,3	333,2
48,3	333,2
53,3	333,2
59,2	333,2
65,5	333,2
71,0	302,7
74,5	268,2
76,7	242,3
79,0	220,6
81,8	207,0
84,5	190,4
87,3	179,9
90,0	169,9
93,5	158,6
97,0	153,0
100,2	143,1
103,2	138,2
107,0	132,6
111,5	125,7
115,5	123,1
119,7	116,2
123,5	113,6
127,0	110,4
130,5	105,1
134,2	104,1
138,5	97,2
142,2	94,6
145,5	90,2
149,0	83,7
152,8	81,5
156,8	73,9
161,5	69,6
167,0	63,5
172,3	54,7
178,0	49,2
182,5	37,8
186,5	30,8
190,2	24,7
194,0	18,3
198,7	16,2
203,5	10,7
208,8	9,1
214,3	6,8
220,5	2,6
226,8	3,0
232,5	-1,0
238,0	-0,8
