Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 2
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,8	333,2
1,8	333,2
6,5	333,2
12,5	333,2
18,5	333,2
24,0	333,2
30,5	333,2
36,2	333,2
41,5	333,2
45,0	330,9
46,8	294,4
47,8	271,5
48,7	253,9
49,5	238,2
50,5	228,7
52,0	214,3
53,3	204,2
54,5	194,2
55,8	181,8
57,0	174,5
58,3	163,3
59,5	155,3
60,8	148,4
62,5	139,5
64,7	134,2
67,0	123,4
69,5	116,7
71,2	110,4
72,8	102,5
74,2	99,9
76,0	93,1
77,2	89,8
78,3	87,1
79,0	81,8
79,5	81,7
79,7	77,6
80,5	76,8
81,5	75,5
82,8	71,9
83,8	72,5
85,0	68,1
86,3	67,5
87,3	66,1
88,5	62,8
90,0	63,9
91,3	60,1
92,7	59,9
94,5	59,0
96,8	55,5
98,8	57,2
101,0	53,1
103,2	53,4
105,5	52,3
108,2	49,1
111,0	50,9
113,7	47,9
116,7	47,7
119,7	47,5
123,2	44,3
126,5	46,1
130,2	42,8
134,2	41,8
138,0	40,4
141,7	36,9
145,5	37,1
149,3	32,2
153,0	30,1
156,8	28,0
161,2	23,1
166,3	22,3
171,2	15,4
176,5	11,4
181,0	7,5
185,5	1,5
190,2	0,7
194,8	-3,8
199,3	-5,7
204,0	-5,9
208,5	-9,4
212,8	-7,8
216,8	-11,0
220,5	-11,0
223,5	-11,1
226,0	-13,5
228,0	-11,6
230,0	-14,4
232,5	-14,0
235,0	-13,7
238,3	-15,6
241,7	-13,6
245,5	-16,0
249,8	-15,1
253,8	-15,0
258,3	-17,3
263,0	-14,9
267,3	-17,1
271,5	-16,7
276,0	-16,1
280,2	-18,4
284,8	-16,4
289,3	-18,4
293,8	-17,9
298,7	-17,3
304,3	-19,2
309,8	-17,1
315,5	-19,6
320,8	-18,8
