Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 2
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
325,8	-18,3
331,0	-19,9
336,0	-17,8
340,3	-20,2
344,5	-19,6
348,5	-18,9
352,8	-21,0
357,0	-18,4
361,3	-21,2
366,0	-20,2
371,3	-19,2
376,3	-21,3
381,2	-19,3
386,0	-21,5
390,3	-20,8
394,2	-19,8
398,3	-22,1
402,5	-19,7
407,5	-21,6
412,7	-21,0
418,2	-19,8
424,0	-22,3
429,3	-19,9
435,0	-21,5
440,8	-21,1
446,0	-20,4
451,3	-21,8
456,7	-19,2
461,7	-20,8
466,7	-20,2
471,5	-18,7
476,7	-20,5
482,0	-17,2
487,7	-19,2
493,7	-18,2
499,0	-16,3
504,0	-17,2
508,8	-13,5
513,7	-15,0
519,2	-13,0
525,0	-11,1
530,7	-12,0
537,0	-7,4
544,5	-8,2
551,7	-5,2
558,3	-2,5
564,0	-2,6
569,2	1,3
574,8	1,0
581,2	3,9
588,3	6,0
595,5	5,5
603,0	10,3
611,0	10,1
618,5	12,5
627,2	15,3
635,7	14,8
643,7	19,2
651,5	19,6
658,5	21,3
666,2	24,3
674,5	23,8
683,3	27,6
692,5	27,2
701,5	29,2
711,7	31,8
723,0	30,8
734,2	35,1
746,3	34,0
757,0	36,0
768,5	38,3
780,2	37,0
792,0	40,6
804,3	39,4
816,0	40,6
828,5	41,6
840,3	40,7
851,0	43,5
862,2	41,7
873,8	42,7
885,5	43,7
896,7	41,9
907,5	44,8
918,0	42,4
928,5	42,7
938,5	43,6
949,0	41,2
960,5	43,5
971,7	41,3
983,5	41,3
994,5	41,9
1005,3	39,1
1015,8	41,7
1026,8	39,2
1038,0	38,9
1049,5	39,7
1060,8	37,3
1072,5	39,4
1084,5	36,3
1097,3	36,9
1111,5	36,9
1125,8	34,5
1141,2	36,5
1158,0	33,9
1174,0	33,4
1188,3	33,6
1202,5	30,8
1216,0	32,5
1229,8	29,5
1243,8	29,4
1257,5	29,2
1270,5	26,4
1282,8	28,5
1295,0	25,1
1307,3	26,0
1319,3	25,4
1330,5	23,3
1342,3	24,8
1354,3	21,6
1365,7	21,9
1377,2	21,6
1389,5	19,0
1402,0	21,2
1415,3	18,0
1429,0	17,9
1442,8	18,3
1456,0	15,3
1468,7	17,3
1481,0	14,6
1493,8	14,9
1507,5	14,7
1520,8	11,6
1533,5	13,8
1544,8	10,7
1555,5	10,9
1565,8	10,7
1575,0	8,5
1583,8	10,3
1592,5	7,0
1601,5	7,8
1611,0	8,1
1621,8	5,4
1631,8	7,2
1642,3	4,5
1651,2	5,2
1661,3	5,2
1670,3	2,6
1679,5	4,7
1688,8	2,1
1698,8	2,1
1709,0	2,6
1720,0	-0,1
1731,8	2,1
1743,5	-0,7
1756,0	-0,3
1768,2	0,2
1780,3	-2,7
1792,3	-0,5
1803,2	-3,1
1815,0	-2,6
1826,0	-2,9
1836,8	-5,2
1848,0	-2,8
1858,8	-5,7
1869,7	-5,5
1881,8	-5,1
1893,5	-7,8
1905,5	-5,5
1917,8	-8,6
1930,3	-8,1
1943,5	-7,8
1957,3	-10,6
1971,5	-8,5
1985,5	-11,1
2000,5	-10,3
2014,0	-9,9
2028,7	-12,8
2043,8	-10,0
2060,5	-12,4
2076,5	-12,4
2093,5	-11,9
2111,5	-14,3
2129,7	-12,0
2148,8	-14,9
2168,5	-14,2
2189,5	-13,8
2211,7	-16,5
2234,3	-14,3
2257,2	-17,1
2277,8	-16,4
2297,7	-16,4
2316,3	-18,9
2335,5	-16,3
2354,2	-18,9
2372,5	-17,9
2389,8	-17,7
2407,0	-20,2
2424,2	-17,9
2440,2	-20,5
2457,5	-20,0
2474,5	-18,9
2490,5	-21,9
2506,0	-18,8
2522,2	-21,6
2539,0	-20,7
2556,5	-20,7
2574,0	-22,6
2591,2	-20,0
2608,2	-22,6
2626,5	-21,3
2644,8	-21,2
2660,7	-23,1
2677,0	-21,2
2692,5	-23,8
2708,5	-22,1
2724,0	-22,6
2741,5	-24,3
2761,2	-21,5
2782,5	-24,3
2805,2	-23,3
2829,8	-22,9
2851,7	-24,6
2871,7	-22,3
2890,5	-24,7
2907,0	-23,8
2921,8	-23,4
2936,5	-25,2
2952,7	-23,1
2970,2	-26,3
2991,0	-24,5
3014,0	-24,2
3033,0	-25,9
3052,0	-23,7
3069,5	-25,8
3085,0	-24,6
3098,7	-24,5
3111,2	-26,6
3124,2	-23,9
3137,5	-25,8
3151,2	-24,9
3163,3	-24,7
3176,0	-26,9
3188,2	-24,1
3199,0	-26,9
3209,0	-25,8
3218,0	-25,4
3225,5	-27,3
3231,8	-24,4
3237,5	-26,7
3244,0	-25,5
3250,2	-25,4
3257,0	-27,2
3263,5	-25,1
3270,5	-27,5
3278,0	-25,7
3285,8	-26,0
3293,5	-27,5
3301,0	-25,1
3308,5	-27,7
3315,0	-25,9
3320,8	-25,6
3326,5	-28,0
3331,8	-24,8
3337,0	-27,3
3342,2	-25,9
3346,2	-25,4
3350,0	-27,5
3352,0	-25,2
3351,7	-27,3
3351,3	-26,1
3351,0	-26,2
3351,0	-28,0
3351,0	-25,5
3350,8	-27,4
3350,8	-26,5
3350,8	-26,4
3350,8	-27,8
3350,8	-25,4
3350,8	-27,5
3350,5	-26,0
3350,5	-26,0
3350,5	-28,1
3350,5	-25,1
3350,5	-27,5
3350,5	-26,2
3350,5	-26,2
3350,5	-27,2
3350,5	-24,7
3350,5	-28,0
3350,5	-26,1
3350,2	-26,0
3350,2	-27,7
3350,2	-25,1
3350,2	-27,5
3350,2	-26,0
3350,2	-26,2
