Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 4
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,8	333,2
4,7	333,2
13,8	333,2
26,0	333,2
37,5	333,2
47,8	333,2
56,0	333,2
62,5	333,2
67,0	333,2
70,8	296,2
73,7	262,1
76,5	234,5
80,0	210,7
83,5	195,0
87,3	177,2
90,5	165,2
94,0	154,0
97,5	143,1
101,0	137,6
104,8	127,9
108,7	122,9
112,0	117,7
115,5	111,3
118,7	109,4
122,2	102,2
125,7	100,5
129,7	96,8
133,5	91,9
137,5	90,7
141,5	83,8
145,8	81,2
150,5	76,8
155,0	69,8
159,7	67,2
164,2	58,4
168,5	55,8
172,3	49,8
176,0	42,7
180,0	39,8
184,0	30,9
187,7	26,5
191,0	20,5
194,2	14,5
197,8	13,7
201,5	8,3
205,2	7,0
209,0	5,2
212,8	1,3
216,5	2,2
220,0	-2,0
223,7	-2,0
227,5	-2,5
231,5	-5,4
235,8	-3,8
240,3	-7,0
245,5	-6,7
250,8	-7,3
256,5	-9,7
262,0	-8,1
268,3	-11,0
273,7	-9,7
279,0	-10,1
284,0	-12,7
289,3	-10,4
294,8	-13,3
300,0	-12,1
306,0	-12,2
312,3	-14,8
319,5	-12,7
326,0	-15,3
331,8	-14,9
338,0	-14,6
344,5	-16,6
351,0	-14,6
358,0	-17,2
365,0	-16,5
370,8	-15,7
376,3	-18,6
381,7	-16,0
387,0	-18,3
392,0	-17,7
397,0	-16,8
401,7	-19,2
406,5	-17,0
411,5	-19,4
417,0	-18,3
422,7	-17,8
428,0	-19,5
432,7	-17,4
437,3	-19,8
440,5	-18,3
442,7	-17,5
444,5	-19,7
446,3	-16,9
448,5	-19,2
451,3	-18,2
455,2	-17,1
459,2	-18,9
463,0	-16,2
466,7	-17,7
471,0	-16,8
475,8	-15,0
480,7	-16,6
485,7	-13,0
491,2	-13,4
496,0	-11,9
501,0	-9,4
506,5	-10,4
512,0	-5,5
