Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 2
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,3	333,2
0,5	333,2
1,0	333,2
2,7	333,2
7,5	333,2
17,2	333,2
30,8	333,2
43,5	298,0
52,5	217,8
61,7	155,9
68,7	118,9
76,2	89,0
83,5	68,7
89,8	55,3
94,5	40,2
99,3	33,9
104,2	24,1
108,5	16,9
112,7	13,1
117,5	4,2
123,0	1,9
129,0	-5,7
134,0	-11,6
138,7	-13,8
143,2	-22,5
148,2	-24,3
154,2	-30,9
160,7	-37,1
167,7	-42,8
174,8	-53,7
181,2	-57,2
188,0	-62,5
194,8	-66,2
200,3	-66,6
206,0	-71,9
212,8	-70,9
219,8	-73,6
227,0	-75,3
234,8	-73,9
242,3	-78,1
249,3	-76,6
255,2	-77,8
261,0	-80,0
268,0	-78,1
274,8	-81,7
281,5	-79,5
287,3	-81,0
294,5	-82,2
302,3	-79,8
310,0	-83,8
317,0	-81,2
323,5	-82,4
329,5	-84,0
335,5	-81,2
341,7	-85,0
348,0	-82,8
355,0	-84,1
362,5	-85,3
369,8	-82,9
377,8	-86,1
386,2	-83,4
394,8	-84,6
403,2	-86,0
410,7	-83,1
419,2	-86,3
427,8	-83,9
436,0	-84,5
444,2	-86,3
452,0	-82,6
459,0	-85,7
466,7	-82,8
475,5	-82,9
484,5	-83,7
492,5	-79,2
501,2	-81,4
509,7	-77,5
518,0	-75,9
525,8	-75,5
533,5	-70,3
541,7	-72,0
550,5	-66,7
558,3	-64,8
566,2	-64,8
573,7	-58,6
582,5	-59,9
591,0	-55,0
601,5	-53,3
612,5	-53,1
624,0	-46,9
635,2	-48,0
646,5	-43,3
657,8	-40,9
669,2	-39,9
680,5	-34,7
692,0	-35,5
704,2	-31,1
716,5	-29,3
728,5	-29,5
740,5	-24,7
752,8	-26,6
764,0	-23,1
774,5	-22,4
784,5	-23,4
796,2	-18,9
806,3	-21,5
818,3	-19,3
829,8	-18,7
840,3	-20,2
