Intensidade de luz, canal A vsPosição angular, canais 1 e 2(&2), Série n.º 3
Posição angular, canais 1 e 2(&2) ( graus )	Intensidade de luz, canal A ( % do máx. )
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
-0,3	333,2
0,0	333,2
0,0	333,2
0,0	333,2
0,5	333,2
1,3	333,2
3,7	333,2
6,7	333,2
11,7	333,2
19,2	333,2
27,5	333,2
35,5	333,2
42,2	287,0
49,0	239,3
55,0	205,3
59,2	175,3
63,0	157,1
66,5	142,3
70,0	128,3
73,5	120,8
77,8	109,6
82,5	103,7
87,3	98,2
91,3	91,1
95,3	89,0
99,5	82,8
104,0	80,4
108,5	77,2
113,5	72,8
118,2	71,5
122,7	65,2
127,0	61,9
131,2	58,6
136,0	52,0
141,5	50,1
147,7	42,5
153,8	37,5
159,7	31,3
165,2	22,0
170,0	18,4
175,0	10,6
181,0	8,2
187,3	5,2
191,7	0,5
195,0	0,6
197,0	-3,1
198,0	-3,6
199,0	-4,5
200,3	-7,8
202,8	-5,9
207,7	-9,6
213,8	-9,0
220,5	-9,1
227,3	-11,7
234,5	-10,0
242,0	-12,7
249,3	-12,2
255,5	-11,9
261,2	-14,6
266,8	-12,6
272,8	-15,5
279,3	-14,3
284,8	-14,7
290,0	-16,8
295,2	-14,3
300,0	-16,8
304,3	-16,1
